Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01510","Potatoes","2006","2006","hg/ha","150000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01510","Potatoes","2007","2007","hg/ha","150400","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01510","Potatoes","2008","2008","hg/ha","140000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01510","Potatoes","2009","2009","hg/ha","140000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01510","Potatoes","2005","2005","tonnes","300000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01510","Potatoes","2006","2006","tonnes","300000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01510","Potatoes","2007","2007","tonnes","300800","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01510","Potatoes","2008","2008","tonnes","280000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01510","Potatoes","2009","2009","tonnes","302400","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0113","Rice","2005","2005","ha","160000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0113","Rice","2006","2006","ha","160000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0113","Rice","2007","2007","ha","170000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0113","Rice","2008","2008","ha","190000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0113","Rice","2009","2009","ha","200000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0113","Rice","2005","2005","hg/ha","30313","A","Official figure"
